X,Результаты модуля (RealMathModule),Результаты модуля (IterMathModule)
-5.6524,156412.1715048632,156412.17970364896
-5.6513,153819.2072457883,153819.21541884518
-5.6502,151267.77700633736,151267.78515438442
-5.6491,148757.20273816,148757.21086188583
-5.648,146286.81798529657,146286.8260853593
-5.6469,143855.9676725282,143855.97574955554
-5.6458,141464.00789789684,141464.01595248724
-5.6447,139110.3057293009,139110.31376202588
-5.6436,136794.23900510967,136794.24701651317
-5.6425,134515.19613866645,134515.20412926603
-5.6414,132272.5759266325,132272.58389691994
-5.6403,130065.78736107181,130065.79531151416
-5.6392,127894.24944521251,127894.25737625411
-5.6381,125757.3910127917,125757.39892485159
-5.637,123654.65055091432,123654.65844439094
-5.6359,121585.47602636159,121585.48390163091
-5.6348,119549.32471525247,119549.33257266895
-5.6337,117545.66303602222,117545.67087592113
-5.6326,115573.96638561352,115573.97420830917
-5.6315,113633.71897883486,113633.72678462269
-5.6304,111724.41369081348,111724.42147997087
-5.6293,109845.55190248121,109845.5596752666
-5.6282,107996.64334902154,107996.65110567576
-5.6271,106177.2059712293,106177.21371197776
-5.626,104386.76576970948,104386.77349475984
-5.6249,102624.85666187036,102624.86437141465
-5.6238,100891.02034163736,100891.02803585304
-5.6227,99184.80614184709,99184.81382089533
-5.6216,97505.77089925089,97505.7785632792
-5.6205,95853.47882209094,95853.48647123287
-5.6194,94227.50136018086,94227.50899455632
-5.6183,92627.41707744915,92627.42469716472
-5.6172,91052.81152689378,91052.81913204344
-5.6161,89503.27712788717,89503.28471855243
-5.615,87978.41304581019,87978.42062206035
-5.6139,86477.82507393336,86477.83263582706
-5.6128,85001.12551753152,85001.12582544473
-5.6117,83547.93308016227,83547.93337793247
-5.6106,82117.87275207802,82117.8730400175
-5.6095,80710.5757007271,80710.57597913727
-5.6084,79325.6791632941,79325.67943246767
-5.6073,77962.82634125101,77962.82660147153
-5.6062,76621.66629686143,76621.66654840362
-5.6051,75301.85385162114,75301.85409475103
-5.604,74003.04948657239,74003.04972154785
-5.6029,72724.919244472,72724.91947154306
-5.6018,71467.13463376756,71467.13485317616
-5.6007,70229.37253434726,70229.37274632826
-5.5996,69011.31510503171,69011.31530981287
-5.5985,67812.64969276813,67812.6498905694
-5.5974,66633.06874349245,66633.06893452775
